Source,Target,Type,Time
0,8227,Directed,0
1,8228,Directed,1
1,8228,Directed,2
2,8229,Directed,3
1,8228,Directed,4
2,8229,Directed,5
3,8230,Directed,6
1,8228,Directed,7
4,8231,Directed,8
4,8231,Directed,9
5,8232,Directed,10
1,8228,Directed,11
1,8228,Directed,12
2,8229,Directed,13
6,8233,Directed,14
7,8227,Directed,15
3,8230,Directed,16
8,8234,Directed,17
1,8228,Directed,18
2,8229,Directed,19
2,8229,Directed,20
9,8235,Directed,21
1,8228,Directed,22
6,8233,Directed,23
4,8231,Directed,24
1,8228,Directed,25
3,8230,Directed,26
2,8229,Directed,27
1,8228,Directed,28
2,8229,Directed,29
10,8236,Directed,30
11,8237,Directed,31
3,8230,Directed,32
3,8230,Directed,33
12,8238,Directed,34
1,8228,Directed,35
4,8231,Directed,36
13,8239,Directed,37
14,8240,Directed,38
12,8238,Directed,39
1,8228,Directed,40
14,8240,Directed,41
14,8240,Directed,42
15,8241,Directed,43
12,8238,Directed,44
16,8242,Directed,45
17,8243,Directed,46
4,8231,Directed,47
4,8231,Directed,48
3,8230,Directed,49
18,8244,Directed,50
11,8237,Directed,51
19,8245,Directed,52
20,8246,Directed,53
21,8247,Directed,54
22,8248,Directed,55
3,8230,Directed,56
17,8249,Directed,57
11,8237,Directed,58
4,8231,Directed,59
23,8250,Directed,60
4,8231,Directed,61
24,8251,Directed,62
12,8238,Directed,63
25,8252,Directed,64
3,8230,Directed,65
4,8231,Directed,66
2,8229,Directed,67
26,8253,Directed,68
4,8231,Directed,69
4,8231,Directed,70
27,8254,Directed,71
11,8237,Directed,72
12,8238,Directed,73
28,8255,Directed,74
18,8244,Directed,75
29,8256,Directed,76
11,8237,Directed,77
2,8229,Directed,78
8,8234,Directed,79
4,8231,Directed,80
4,8231,Directed,81
30,8257,Directed,82
31,8258,Directed,83
28,8255,Directed,84
28,8255,Directed,85
16,8249,Directed,86
32,8259,Directed,87
4,8231,Directed,88
3,8230,Directed,89
33,8260,Directed,90
8,8234,Directed,91
4,8231,Directed,92
16,8249,Directed,93
24,8251,Directed,94
4,8231,Directed,95
3,8230,Directed,96
1,8228,Directed,97
3,8230,Directed,98
34,8261,Directed,99
16,8249,Directed,100
35,8262,Directed,101
3,8230,Directed,102
36,8263,Directed,103
3,8230,Directed,104
4,8231,Directed,105
16,8249,Directed,106
3,8230,Directed,107
27,8254,Directed,108
16,8249,Directed,109
12,8238,Directed,110
24,8251,Directed,111
28,8255,Directed,112
4,8231,Directed,113
16,8249,Directed,114
1,8228,Directed,115
14,8240,Directed,116
31,8258,Directed,117
34,8261,Directed,118
3,8230,Directed,119
4,8231,Directed,120
19,8260,Directed,121
31,8258,Directed,122
27,8254,Directed,123
31,8258,Directed,124
14,8240,Directed,125
37,8264,Directed,126
1,8228,Directed,127
14,8240,Directed,128
4,8231,Directed,129
37,8264,Directed,130
4,8231,Directed,131
37,8264,Directed,132
3,8230,Directed,133
4,8231,Directed,134
38,8260,Directed,135
3,8230,Directed,136
14,8240,Directed,137
16,8249,Directed,138
16,8249,Directed,139
4,8231,Directed,140
14,8240,Directed,141
8,8234,Directed,142
12,8238,Directed,143
1,8228,Directed,144
16,8249,Directed,145
3,8230,Directed,146
14,8240,Directed,147
14,8240,Directed,148
16,8249,Directed,149
3,8230,Directed,150
39,8265,Directed,151
3,8230,Directed,152
1,8228,Directed,153
40,8244,Directed,154
16,8249,Directed,155
41,8266,Directed,156
42,8267,Directed,157
43,8268,Directed,158
1,8228,Directed,159
28,8255,Directed,160
16,8249,Directed,161
44,8269,Directed,162
12,8238,Directed,163
42,8267,Directed,164
16,8249,Directed,165
34,8261,Directed,166
3,8230,Directed,167
45,8249,Directed,168
16,8249,Directed,169
3,8230,Directed,170
3,8230,Directed,171
16,8249,Directed,172
16,8249,Directed,173
3,8230,Directed,174
6,8233,Directed,175
3,8230,Directed,176
46,8270,Directed,177
16,8249,Directed,178
3,8230,Directed,179
16,8249,Directed,180
16,8249,Directed,181
3,8230,Directed,182
1,8228,Directed,183
6,8233,Directed,184
3,8230,Directed,185
3,8230,Directed,186
1,8228,Directed,187
12,8238,Directed,188
3,8230,Directed,189
1,8228,Directed,190
3,8230,Directed,191
47,8271,Directed,192
48,8272,Directed,193
3,8230,Directed,194
48,8272,Directed,195
16,8249,Directed,196
3,8230,Directed,197
49,8273,Directed,198
50,8274,Directed,199
16,8249,Directed,200
47,8271,Directed,201
3,8230,Directed,202
1,8228,Directed,203
50,8274,Directed,204
3,8230,Directed,205
16,8249,Directed,206
1,8228,Directed,207
12,8238,Directed,208
48,8272,Directed,209
51,8275,Directed,210
52,8249,Directed,211
3,8230,Directed,212
51,8275,Directed,213
53,8276,Directed,214
54,8277,Directed,215
16,8249,Directed,216
48,8272,Directed,217
55,8278,Directed,218
3,8230,Directed,219
1,8228,Directed,220
16,8249,Directed,221
3,8230,Directed,222
48,8272,Directed,223
3,8230,Directed,224
16,8249,Directed,225
56,8279,Directed,226
16,8249,Directed,227
16,8249,Directed,228
48,8272,Directed,229
8,8234,Directed,230
47,8271,Directed,231
57,8244,Directed,232
16,8249,Directed,233
58,8280,Directed,234
1,8228,Directed,235
16,8249,Directed,236
48,8272,Directed,237
1,8228,Directed,238
3,8230,Directed,239
3,8230,Directed,240
1,8228,Directed,241
59,8281,Directed,242
48,8272,Directed,243
48,8272,Directed,244
18,8244,Directed,245
48,8272,Directed,246
3,8230,Directed,247
1,8228,Directed,248
59,8281,Directed,249
60,8282,Directed,250
61,8283,Directed,251
1,8228,Directed,252
59,8281,Directed,253
61,8283,Directed,254
17,8284,Directed,255
61,8283,Directed,256
1,8228,Directed,257
22,8285,Directed,258
48,8272,Directed,259
59,8281,Directed,260
57,8244,Directed,261
1,8228,Directed,262
62,8286,Directed,263
48,8272,Directed,264
1,8228,Directed,265
63,8240,Directed,266
59,8281,Directed,267
64,8287,Directed,268
64,8287,Directed,269
3,8230,Directed,270
65,8288,Directed,271
66,8289,Directed,272
3,8230,Directed,273
1,8228,Directed,274
1,8228,Directed,275
67,8236,Directed,276
68,8249,Directed,277
69,8290,Directed,278
56,8279,Directed,279
59,8281,Directed,280
62,8286,Directed,281
70,8291,Directed,282
62,8286,Directed,283
1,8228,Directed,284
71,8281,Directed,285
59,8281,Directed,286
3,8230,Directed,287
62,8286,Directed,288
59,8281,Directed,289
59,8281,Directed,290
1,8228,Directed,291
59,8281,Directed,292
1,8228,Directed,293
72,8292,Directed,294
1,8228,Directed,295
3,8230,Directed,296
1,8228,Directed,297
3,8230,Directed,298
1,8228,Directed,299
8,8293,Directed,300
73,8294,Directed,301
1,8228,Directed,302
74,8295,Directed,303
3,8230,Directed,304
73,8266,Directed,305
75,8296,Directed,306
73,8297,Directed,307
73,8234,Directed,308
75,8296,Directed,309
59,8281,Directed,310
3,8230,Directed,311
34,8261,Directed,312
75,8296,Directed,313
1,8228,Directed,314
34,8261,Directed,315
76,8289,Directed,316
74,8295,Directed,317
59,8281,Directed,318
1,8228,Directed,319
77,8285,Directed,320
78,8245,Directed,321
3,8230,Directed,322
75,8296,Directed,323
79,8268,Directed,324
74,8295,Directed,325
1,8228,Directed,326
74,8295,Directed,327
77,8285,Directed,328
3,8230,Directed,329
80,8298,Directed,330
1,8228,Directed,331
77,8285,Directed,332
59,8281,Directed,333
75,8296,Directed,334
59,8281,Directed,335
1,8228,Directed,336
59,8281,Directed,337
59,8281,Directed,338
3,8230,Directed,339
3,8230,Directed,340
59,8281,Directed,341
3,8230,Directed,342
1,8228,Directed,343
56,8279,Directed,344
3,8230,Directed,345
3,8230,Directed,346
3,8230,Directed,347
75,8296,Directed,348
50,8299,Directed,349
59,8281,Directed,350
81,8256,Directed,351
82,8261,Directed,352
75,8296,Directed,353
59,8281,Directed,354
83,8300,Directed,355
83,8300,Directed,356
59,8281,Directed,357
84,8261,Directed,358
75,8296,Directed,359
84,8261,Directed,360
75,8296,Directed,361
1,8228,Directed,362
85,8301,Directed,363
50,8299,Directed,364
75,8296,Directed,365
86,8288,Directed,366
77,8285,Directed,367
75,8296,Directed,368
87,8302,Directed,369
81,8256,Directed,370
75,8296,Directed,371
88,8303,Directed,372
81,8256,Directed,373
88,8303,Directed,374
75,8296,Directed,375
50,8299,Directed,376
65,8288,Directed,377
75,8296,Directed,378
65,8288,Directed,379
81,8256,Directed,380
89,8304,Directed,381
90,8305,Directed,382
88,8303,Directed,383
91,8260,Directed,384
92,8306,Directed,385
75,8296,Directed,386
76,8289,Directed,387
81,8256,Directed,388
93,8307,Directed,389
59,8281,Directed,390
91,8260,Directed,391
75,8296,Directed,392
75,8296,Directed,393
59,8281,Directed,394
88,8303,Directed,395
86,8288,Directed,396
75,8296,Directed,397
90,8305,Directed,398
75,8296,Directed,399
88,8303,Directed,400
3,8230,Directed,401
90,8305,Directed,402
75,8296,Directed,403
88,8303,Directed,404
94,8308,Directed,405
90,8305,Directed,406
81,8256,Directed,407
90,8305,Directed,408
75,8296,Directed,409
95,8293,Directed,410
95,8293,Directed,411
22,8309,Directed,412
76,8289,Directed,413
90,8305,Directed,414
75,8296,Directed,415
66,8289,Directed,416
96,8310,Directed,417
90,8305,Directed,418
66,8289,Directed,419
75,8296,Directed,420
88,8303,Directed,421
97,8311,Directed,422
59,8281,Directed,423
98,8312,Directed,424
3,8230,Directed,425
88,8303,Directed,426
95,8293,Directed,427
66,8289,Directed,428
98,8312,Directed,429
95,8293,Directed,430
88,8303,Directed,431
75,8296,Directed,432
59,8281,Directed,433
3,8230,Directed,434
90,8305,Directed,435
3,8230,Directed,436
93,8307,Directed,437
75,8296,Directed,438
3,8230,Directed,439
3,8230,Directed,440
88,8303,Directed,441
3,8230,Directed,442
75,8296,Directed,443
3,8230,Directed,444
66,8289,Directed,445
68,8308,Directed,446
59,8281,Directed,447
99,8313,Directed,448
99,8313,Directed,449
3,8230,Directed,450
75,8296,Directed,451
96,8310,Directed,452
88,8303,Directed,453
59,8281,Directed,454
75,8296,Directed,455
75,8296,Directed,456
3,8230,Directed,457
100,8314,Directed,458
101,8315,Directed,459
88,8303,Directed,460
101,8315,Directed,461
3,8230,Directed,462
88,8303,Directed,463
59,8281,Directed,464
3,8230,Directed,465
3,8230,Directed,466
88,8303,Directed,467
3,8230,Directed,468
88,8303,Directed,469
59,8281,Directed,470
3,8230,Directed,471
50,8299,Directed,472
88,8303,Directed,473
3,8230,Directed,474
102,8306,Directed,475
88,8303,Directed,476
50,8299,Directed,477
3,8230,Directed,478
88,8303,Directed,479
3,8230,Directed,480
103,8316,Directed,481
104,8317,Directed,482
102,8306,Directed,483
104,8317,Directed,484
88,8303,Directed,485
100,8314,Directed,486
88,8303,Directed,487
105,8318,Directed,488
75,8296,Directed,489
88,8303,Directed,490
59,8281,Directed,491
106,8302,Directed,492
75,8296,Directed,493
